food,food_id
苦瓜,784
南瓜,786
魔芋,788
铁棍山药,790
花魔芋,793
维生素C,785
总黄酮,798
钙,787
山楂果实,799
直链淀粉,805
蛋白质,807
脂肪,808
膳食纤维,789
非淀粉多糖,809
辣椒,814
烧烤,815
油炸,816
红肉,817
加工肉制品,818
软饮料,819
素食,820
牛奶,821
橄榄油,822
鱼肉,823
粗加工食品,829
纤维素,830
玉米类制品,831
豆制品,832
糖尿病药膳馒头,844
红肉摄入过多,1337
肉类,1339
饱和脂肪酸,1340
胆固醇,441
铁,1341
高水平血红素铁,1342
低碳水化合物饮食,1345
低血糖生成指数饮食,1346
素食饮食,1347
饮食治疗,1432
低脂和低碳水饮食,1433
碳水化合物,1435
低脂和低碳水,1437
低蛋白,1464
地中海饮食,1477
DASH饮食,1480
药膳馒头,1497
药膳蒸饭,1498
山楂,1500
骆驼奶,1508
强化RS药膳,1513
维生素D,1515
LCD,1528
高盐,1580
高能量,1597
当归四逆汤,1630
生酮饮食,1639
维生素A,1649
Y-谷维素,1689
水不溶性膳食纤维,1691
益生元,1702
可溶性膳食纤维,1704
30%低碳水化合物饮食,1706
四君子汤合黄芪,1714
黄连温胆汤合四妙勇安汤,1716
葛根,1122
四磨汤,974
挤压超微粉碎刺梨果渣,1722
加味玉屏风散汤剂,1724
五味消渴方,1726
糖肾汤,1042
通络地龟汤,1052
植物油,1730
柴芩温胆汤,1731
止血散瘀明目汤,1733
桑叶,1734
大豆,1766
H1IT联合饮食,1803
枸杞多糖,1825
煎炸食品,1882
甜点,1883
糖果,1884
含糖饮料,1885
低糖水果,1886
豆类,1887
粗谷物,1888
蔬菜,1889
益生菌,933
粗纤维,1900
维生素,1901
油脂,1902
钠盐,1903
乳制品,1907
蔬菜水果,1909
鱼贝类,1913
动物血,1917
肝脏,1918
瘦肉,1919
牛肉,1920
乳类,1921
小虾皮,1922
芝麻酱,1923
粗粮,1924
肉桂,2130
烤制的火烧,2271
200kcal低升糖指数食物,2354
高碳水化合物的食物,2355
脂,2363
单不饱和脂肪酸,2373
异黄酮,2374
低聚果糖,2376
不饱和脂肪酸,2396
纤维,1911
微量元素,2397
植物性蛋白,2398
南瓜果胶,2399
抗性淀粉,2400
谷类纤维,2476
调整膳食,2591
高动物脂肪,2593
植物性食物中的蛋白质,2596
大豆蛋白,2597
乳清蛋白,2598
反式脂肪酸,2600
维生素B1,1912
微量营养素,2602
禽蛋,2604
肥肉,2605
动物内脏,2606
脱脂乳类乳制品,2607
非油炸豆制品,2608
豆类制品,2609
动物油,2610
坚果类食物,2611
甜食,2613
糖醇类塔格糖等低能量甜味剂,2614
不产生能量的甜味剂,2615
酒,2616
糖水,2620
碳水化合物食物,2622
能量高的食物,2625
脂肪高的食物,2626
嘌呤含量高,2627
辛辣刺激性食物,2628
盐,2629
果糖,2821
ω-3脂肪酸,2823
烟酸,951
B族维生素,2831
锌,802
镁,2845
植物固醇,2851
甾烷醇酯,2853
大豆异黄酮,2854
茶多酚,2856
绿茶提取物,2857
花青素,2858
能量,2884
左旋肉碱,2893
鱼,2925
鸡肉,2926
奶类,2927
钠,2944
反式不饱和脂肪酸,2945
ω-3不饱和脂肪酸,2946
植物甾醇,2947
葡萄糖,71
点心,2952
蛋白,2954
叶酸,2877
酒精,3227
薯类,3236
蔬菜及薯类,3237
粗杂粮及杂豆类,3239
燕麦,3240
荞麦,3241
大麦,3242
红米,3243
黑米,1499
赤小豆,3244
扁豆,3245
粗、杂粮,3246
小米,3250
玉米,3252
糙米,3254
甘薯,3255
橘子,3258
柑橘,3259
卷心菜,3260
花椰菜,3261
甘蓝,3262
可溶性纤维,3263
水不溶性纤维,3264
蛋豆鱼肉类,3266
蛋糕,3267
腊肠,3268
咸鱼,3269
咸蛋,3270
油,3271
糖,2375
全谷类,3272
麸皮,3273
胚芽,3274
小麦胚芽,3275
干豆,3276
马铃薯,3277
全谷类面包,3278
水果,3279
柑橘类,3280
芒果,3281
草莓,3282
哈密瓜,3283
木瓜,3284
黄梨,3285
杏子,3286
柿子,3287
油桃,3288
梨子,3289
葡萄汁,3290
香蕉,3291
香瓜,3292
桔汁,3293
深绿色蔬菜,3294
深黄色蔬菜,3295
芦笋,3296
包心菜,3297
菜花,3298
芥菜,3299
菠菜,3300
青椒,3301
番茄,3302
甜菜,3303
茄子,3304
莴苣,3305
高胆固醇的食物,3420
低热量饮食,3421
全谷,3423
高胆固醇食物,3424
木耳,3430
燕麦麸,3432
苹果,3433
橙,3434
梨,3435
花菜,3436
胡萝卜,3437
全麦制品,3439
米麸,3440
小麦麸皮,3441
坚果,3442
黄豆,3443
绿花菜,3444
奶,3447
蛋,3448
饱和脂肪,3450
花生油,3451
玉米油,3452
豆油,3453
菜籽油,3454
牛油,3455
羊油,3456
猪油,3457
动物脂肪,3458
维生素Ａ,3459
鸡蛋,3462
奶油,3463
肾脏,3464
西葫芦,3465
维生素Ｄ,3466
动物肝脏,3468
绿叶蔬菜,3469
小牛的肝脏,3471
维生素Ｃ,3472
虾米,3473
发菜,3474
海带,3475
坚果类,3476
土豆,3477
蘑菇,3478
血,3479
虾,3480
紫菜,3482
海鱼,3483
肉,3484
牡蛎,3485
海产品,3486
核桃,3487
茶叶,3489
干酵母,3490
龙虾,3491
小麦,3493
大米,3494
蛋类,3495
萝卜,3496
铬,3492
豆浆,3501
钾,205
多糖,791
黄酮,792
氨基酸,794
淀粉,795
可溶性糖,796
锰,801
铜,803
山药,1120
杂粮,1503
维生素B族,1908
矿物质,1910
维生素B2,1067
ω-3多不饱和脂肪酸,2822
油酸,3247
亚油酸,3248
芦丁,3249
糖类,3251
谷胱苷肽,3253
水溶性膳食纤维,3431
不溶性膳食纤维,3438
维生素Ｋ,3470
碘,3481
氟,3488
硒,2836
,
